label,accession,type,start,end,notes
5rtb,2,2,2,2,2
5rtc,2,2,2,2,2
5rtd,2,2,2,2,2
5rte,2,2,2,2,2
5rtf,2,2,2,2,2
5rtg,2,2,2,2,2
5rth,2,2,2,2,2
5rti,2,2,2,2,2
5rtj,2,2,2,2,2
5rtk,2,2,2,2,2
5rtl,2,2,2,2,2
5rtm,2,2,2,2,2
5rtn,2,2,2,2,2
5rto,2,2,2,2,2
5rtp,2,2,2,2,2
5rtq,2,2,2,2,2
5rtr,2,2,2,2,2
5rts,2,2,2,2,2
5rtt,2,2,2,2,2
5rtu,2,2,2,2,2
5rtv,2,2,2,2,2
5rtw,2,2,2,2,2
5rtx,2,2,2,2,2
5rty,2,2,2,2,2
5rtz,2,2,2,2,2
5ru0,2,2,2,2,2
5ru1,2,2,2,2,2
5ru2,2,2,2,2,2
5ru3,2,2,2,2,2
5ru4,2,2,2,2,2
5ru5,2,2,2,2,2
5ru6,2,2,2,2,2
5ru7,2,2,2,2,2
5ru8,2,2,2,2,2
5ru9,2,2,2,2,2
5rua,2,2,2,2,2
5ruc,2,2,2,2,2
5rud,2,2,2,2,2
5rue,2,2,2,2,2
5ruf,2,2,2,2,2
5rug,2,2,2,2,2
5ruh,2,2,2,2,2
5rui,2,2,2,2,2
5ruj,2,2,2,2,2
5ruk,2,2,2,2,2
5rul,2,2,2,2,2
5rum,2,2,2,2,2
5run,2,2,2,2,2
5ruo,2,2,2,2,2
5rup,2,2,2,2,2
5ruq,2,2,2,2,2
5rur,2,2,2,2,2
5rus,2,2,2,2,2
5rut,2,2,2,2,2
5ruu,2,2,2,2,2
5ruv,2,2,2,2,2
5ruw,2,2,2,2,2
5rux,2,2,2,2,2
5ruy,2,2,2,2,2
5ruz,2,2,2,2,2
5rv0,2,2,2,2,2
5rv1,2,2,2,2,2
5rv2,2,2,2,2,2
5rv3,2,2,2,2,2
5rv4,2,2,2,2,2
5rv5,2,2,2,2,2
5rv6,2,2,2,2,2
5rv7,2,2,2,2,2
5rv8,2,2,2,2,2
5rv9,2,2,2,2,2
5rva,2,2,2,2,2
5rvb,2,2,2,2,2
5rvc,2,2,2,2,2
5rvd,2,2,2,2,2
5rve,2,2,2,2,2
5rvf,2,2,2,2,2
5rvg,2,2,2,2,2
5rvh,2,2,2,2,2
5rvi,2,2,2,2,2
5rvj,4,4,4,4,4
5rvk,4,4,4,4,4
5rvl,4,4,4,4,4
5rvm,2,2,2,2,2
5rvn,4,4,4,4,4
5rvo,4,4,4,4,4
5rvp,4,4,4,4,4
5rvq,4,4,4,4,4
5rvr,4,4,4,4,4
5rvs,4,4,4,4,4
5rvt,4,4,4,4,4
5rvu,4,4,4,4,4
5rvv,4,4,4,4,4
5s18,2,2,2,2,2
5s1a,2,2,2,2,2
5s1c,2,2,2,2,2
5s1e,2,2,2,2,2
5s1g,2,2,2,2,2
5s1i,2,2,2,2,2
5s1k,2,2,2,2,2
5s1m,2,2,2,2,2
5s1o,2,2,2,2,2
5s1q,2,2,2,2,2
5s1s,2,2,2,2,2
5s1u,2,2,2,2,2
5s1w,2,2,2,2,2
5s1y,2,2,2,2,2
5s20,2,2,2,2,2
5s22,2,2,2,2,2
5s24,2,2,2,2,2
5s26,2,2,2,2,2
5s27,2,2,2,2,2
5s28,2,2,2,2,2
5s29,2,2,2,2,2
5s2a,2,2,2,2,2
5s2b,2,2,2,2,2
5s2c,2,2,2,2,2
5s2d,2,2,2,2,2
5s2e,2,2,2,2,2
5s2f,2,2,2,2,2
5s2g,2,2,2,2,2
5s2h,2,2,2,2,2
5s2i,2,2,2,2,2
5s2j,2,2,2,2,2
5s2k,2,2,2,2,2
5s2l,2,2,2,2,2
5s2m,2,2,2,2,2
5s2n,2,2,2,2,2
5s2o,2,2,2,2,2
5s2p,2,2,2,2,2
5s2q,2,2,2,2,2
5s2r,2,2,2,2,2
5s2s,2,2,2,2,2
5s2t,2,2,2,2,2
5s2u,2,2,2,2,2
5s2v,2,2,2,2,2
5s2w,2,2,2,2,2
5s2x,2,2,2,2,2
5s2y,2,2,2,2,2
5s2z,2,2,2,2,2
5s30,2,2,2,2,2
5s31,2,2,2,2,2
5s32,2,2,2,2,2
5s33,2,2,2,2,2
5s34,2,2,2,2,2
5s35,2,2,2,2,2
5s36,2,2,2,2,2
5s37,2,2,2,2,2
5s38,2,2,2,2,2
5s39,2,2,2,2,2
5s3a,2,2,2,2,2
5s3b,2,2,2,2,2
5s3c,2,2,2,2,2
5s3d,2,2,2,2,2
5s3e,2,2,2,2,2
5s3f,2,2,2,2,2
5s3g,2,2,2,2,2
5s3h,2,2,2,2,2
5s3i,2,2,2,2,2
5s3j,2,2,2,2,2
5s3k,2,2,2,2,2
5s3l,2,2,2,2,2
5s3m,2,2,2,2,2
5s3n,2,2,2,2,2
5s3o,2,2,2,2,2
5s3p,2,2,2,2,2
5s3q,2,2,2,2,2
5s3r,2,2,2,2,2
5s3s,2,2,2,2,2
5s3t,2,2,2,2,2
5s3u,2,2,2,2,2
5s3v,2,2,2,2,2
5s3w,2,2,2,2,2
5s3x,2,2,2,2,2
5s3y,2,2,2,2,2
5s3z,2,2,2,2,2
5s40,2,2,2,2,2
5s41,2,2,2,2,2
5s42,2,2,2,2,2
5s43,2,2,2,2,2
5s44,2,2,2,2,2
5s45,2,2,2,2,2
5s46,2,2,2,2,2
5s47,2,2,2,2,2
5s48,2,2,2,2,2
5s49,2,2,2,2,2
5s4a,2,2,2,2,2
5s4b,2,2,2,2,2
5s4c,2,2,2,2,2
5s4d,2,2,2,2,2
5s4e,2,2,2,2,2
5s4f,2,2,2,2,2
5s4g,2,2,2,2,2
5s4h,2,2,2,2,2
5s4i,2,2,2,2,2
5s4j,2,2,2,2,2
5s4k,2,2,2,2,2
5s6x,2,2,2,2,2
5s6y,2,2,2,2,2
5s6z,2,2,2,2,2
5s70,2,2,2,2,2
5s71,2,2,2,2,2
5s72,2,2,2,2,2
5s73,2,2,2,2,2
5s74,2,2,2,2,2
5sa4,2,2,2,2,2
5sa5,2,2,2,2,2
5sa6,2,2,2,2,2
5sa7,2,2,2,2,2
5sa8,2,2,2,2,2
5sa9,2,2,2,2,2
5saa,2,2,2,2,2
5sab,2,2,2,2,2
5sac,2,2,2,2,2
5sad,2,2,2,2,2
5sae,2,2,2,2,2
5saf,2,2,2,2,2
5sag,2,2,2,2,2
5sah,2,2,2,2,2
5sai,2,2,2,2,2
6lu7,2,2,2,2,2
6lvn,2,2,2,2,2
6lxt,6,6,6,6,6
6lze,2,2,2,2,2
6m03,2,2,2,2,2
6m0k,2,2,2,2,2
6m1v,4,4,4,4,4
6m2n,2,2,2,2,2
6m2q,4,4,4,4,4
6m3m,5,5,5,5,5
6m5i,10,10,10,10,10
6m71,36,36,36,36,36
6vsb,3,3,3,3,3
6vww,2,2,2,2,2
6vxs,6,6,6,6,6
6vxx,3,3,3,3,3
6vyb,3,3,3,3,3
6vyo,2,2,2,2,2
6w01,4,4,4,4,4
